animal_id,intake_date_time,intake_type,animal_type,age,gender,outcome_date_time,days_in_shelter,outcome_month,outcome_year,age_group,breed,is_mix_breed,colour,is_multicolour,is_black,is_white,is_brown,is_yellow,is_gray,outcome_type
64379,2019-08-13 17:31:00,litter relinquishment,cat,2,male,2019-08-20,6,8,2019,adolescent,domestic short hair,no,orange,no,no,no,no,no,no,adoption
64380,2019-08-13 17:31:00,litter relinquishment,cat,2,female,2019-08-16,2,8,2019,adolescent,domestic short hair,no,grey,no,no,no,no,no,no,adoption
64381,2019-08-13 17:38:00,stray,dog,8,female,2019-08-14,0,8,2019,senior,maltese,no,white,no,no,yes,no,no,no,reclaimed
64382,2019-08-13 17:48:00,stray,cat,4,unknown,2019-08-27,13,8,2019,adulthood,domestic short hair,no,grey,no,no,no,no,no,no,adoption
64384,2019-08-13 18:02:00,incompatible with owner lifestyle,dog,3,female,2019-08-24,10,8,2019,adolescent,miniature pinscher,no,black and tan,no,yes,no,no,yes,no,adoption
64386,2019-08-14 11:16:00,stray,cat,2,male,2019-11-01,78,11,2019,adolescent,domestic short hair,no,black and grey,no,yes,no,no,no,no,adoption
64387,2019-08-14 11:16:00,stray,cat,2,female,2019-11-06,83,11,2019,adolescent,domestic short hair,no,brown and black,no,yes,no,yes,no,no,adoption
64388,2019-08-14 11:16:00,stray,cat,2,female,2019-10-30,76,10,2019,adolescent,domestic short hair,no,grey,no,no,no,no,no,no,stolen
64389,2019-08-14 11:16:00,stray,cat,2,female,2019-11-01,78,11,2019,adolescent,domestic short hair,no,"black, brown and white",no,yes,yes,yes,no,no,adoption
64391,2019-08-14 14:38:00,stray,cat,3,male,2019-08-23,8,8,2019,adolescent,domestic short hair,no,black and brown,no,yes,no,yes,no,no,adoption
64392,2019-08-14 14:44:00,stray,cat,4,female,2019-09-13,29,9,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64393,2019-08-14 14:44:00,stray,cat,2,female,2019-09-13,29,9,2019,adolescent,domestic medium hair,no,black,no,yes,no,no,no,no,adoption
64394,2019-08-14 14:44:00,stray,cat,2,male,2019-10-11,57,10,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64395,2019-08-14 15:19:00,stray,cat,5,male,2019-08-30,15,8,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64396,2019-08-14 15:19:00,stray,cat,4,female,2020-04-03,232,4,2020,adulthood,domestic short hair,no,black and white,no,yes,yes,no,no,no,adoption
64397,2019-08-14 15:53:00,stray,cat,4,male,2019-08-31,16,8,2019,adulthood,domestic short hair,no,brown and black,no,yes,no,yes,no,no,adoption
64398,2019-08-15 10:19:00,behavioral issues,dog,6,male,2019-10-04,49,10,2019,adulthood,german shepherd dog/mix,yes,black,no,yes,no,no,no,no,adoption
64399,2019-08-15 12:55:00,stray,cat,9,female,2019-09-24,39,9,2019,senior,domestic short hair,no,white and torti,no,no,yes,no,no,no,adoption
64400,2019-08-15 13:15:00,stray,cat,6,male,2019-08-16,0,8,2019,adulthood,domestic short hair,no,black,no,yes,no,no,no,no,reclaimed
64401,2019-08-16 12:25:00,moving,dog,3,male,2019-08-22,5,8,2019,adolescent,beagle,yes,tan and white,no,no,yes,no,yes,no,adoption
64402,2019-08-16 12:29:00,moving,dog,3,male,2019-08-28,11,8,2019,adolescent,beagle,yes,tan and white,no,no,yes,no,yes,no,adoption
64404,2019-08-17 12:51:00,stray,cat,5,male,2019-08-31,13,8,2019,adulthood,domestic short hair,no,orange,no,no,no,no,no,no,adoption
64405,2019-08-17 14:26:00,stray,cat,3,female,2019-08-28,10,8,2019,adolescent,domestic short hair,no,calico,yes,no,no,no,no,no,adoption
64408,2019-08-17 15:51:00,stray,dog,4,female,2019-08-31,13,8,2019,adulthood,border collie,no,black and white,no,yes,yes,no,no,no,adoption
64412,2019-08-19 10:43:00,unable to afford,cat,2,female,2019-08-23,3,8,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64413,2019-08-19 10:43:00,unable to afford,cat,2,male,2019-08-23,3,8,2019,adolescent,domestic short hair,no,chocolate point,yes,no,no,yes,no,no,adoption
64414,2019-08-19 12:15:00,unsuitable accommodation,cat,4,female,2019-12-27,129,12,2019,adulthood,domestic short hair,no,white and tabby,no,no,yes,no,no,no,adoption
64415,2019-08-19 12:16:00,stray,cat,3,female,2019-12-23,125,12,2019,adolescent,domestic short hair,no,tabbico,no,no,no,no,no,no,adoption
64417,2019-08-19 12:15:00,unsuitable accommodation,cat,2,female,2019-11-01,73,11,2019,adolescent,domestic short hair,no,white and black,no,yes,yes,no,no,no,adoption
64418,2019-08-19 12:15:00,unsuitable accommodation,cat,2,male,2019-11-01,73,11,2019,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64419,2019-08-19 12:15:00,unsuitable accommodation,cat,2,female,2019-11-01,73,11,2019,adolescent,domestic short hair,no,brown and black,no,yes,no,yes,no,no,adoption
64420,2019-08-19 12:15:00,unsuitable accommodation,cat,2,female,2019-11-03,75,11,2019,adolescent,domestic short hair,no,white and black,no,yes,yes,no,no,no,adoption
64421,2019-08-19 12:26:00,stray,dog,2,female,2019-08-26,6,8,2019,adolescent,shih tzu,no,tan,no,no,no,no,yes,no,reclaimed
64422,2019-08-19 12:28:00,incompatible with other pets,dog,5,male,2019-08-20,0,8,2019,adulthood,catahoula leopard dog,yes,red,no,no,no,yes,no,no,transfer
64426,2019-08-19 13:48:00,stray,cat,2,female,2019-09-21,32,9,2019,adolescent,domestic short hair,no,white and grey,no,no,yes,no,no,no,adoption
64427,2019-08-19 14:22:00,incompatible with other pets,dog,6,male,2019-09-05,16,9,2019,adulthood,labrador retriever/shep,yes,yellow,no,no,no,no,yes,no,adoption
64433,2019-08-18 15:28:00,born in shelter,cat,2,female,2019-11-14,87,11,2019,adolescent,domestic short hair,no,grey,no,no,no,no,no,no,adoption
64434,2019-08-19 15:40:00,stray,cat,3,male,2019-09-05,16,9,2019,adolescent,domestic short hair,no,black and grey,no,yes,no,no,no,no,adoption
64435,2019-08-18 15:28:00,born in shelter,cat,2,female,2019-11-16,89,11,2019,adolescent,domestic medium hair,no,grey,no,no,no,no,no,no,adoption
64436,2019-08-18 15:28:00,born in shelter,cat,2,male,2019-11-09,82,11,2019,adolescent,domestic long hair,no,black,no,yes,no,no,no,no,adoption
64437,2019-08-18 15:28:00,born in shelter,cat,2,male,2020-04-29,254,4,2020,adolescent,domestic short hair,no,black,no,yes,no,no,no,no,adoption
64438,2019-08-18 15:28:00,born in shelter,cat,2,female,2019-11-10,83,11,2019,adolescent,domestic short hair,no,brown and white,no,no,yes,yes,no,no,adoption
64439,2019-08-18 15:28:00,born in shelter,cat,2,female,2019-11-26,99,11,2019,adolescent,domestic medium hair,no,black,no,yes,no,no,no,no,adoption
64440,2019-08-19 16:03:00,incompatible with owner lifestyle,dog,10,male,2019-08-23,3,8,2019,senior,shep,yes,brown and black,no,yes,no,yes,no,no,adoption
64442,2019-08-19 16:55:00,moving,dog,3,male,2019-08-23,3,8,2019,adolescent,siberian husky,no,black and white,no,yes,yes,no,no,no,adoption
64444,2019-08-20 12:03:00,stray,cat,2,male,2019-09-29,39,9,2019,adolescent,domestic medium hair,no,brown and black,no,yes,no,yes,no,no,adoption
64445,2019-08-20 12:15:00,incompatible with owner lifestyle,dog,2,female,2020-01-10,142,1,2020,adolescent,labrador retriever,yes,black and white,no,yes,yes,no,no,no,adoption
64447,2019-08-20 13:25:00,litter relinquishment,cat,2,male,2019-08-27,6,8,2019,adolescent,domestic short hair,no,brown and black,no,yes,no,yes,no,no,adoption
64448,2019-08-20 13:25:00,litter relinquishment,cat,2,male,2019-08-27,6,8,2019,adolescent,domestic short hair,no,brown and black,no,yes,no,yes,no,no,adoption
64449,2019-08-20 13:25:00,litter relinquishment,cat,2,female,2019-08-28,7,8,2019,adolescent,domestic short hair,no,dilute tortoiseshell,no,no,no,no,no,no,adoption
64450,2019-08-20 14:09:00,stray,cat,2,male,2019-09-25,35,9,2019,adolescent,domestic short hair,no,flame point,yes,no,no,no,no,no,adoption
64452,2019-08-20 15:09:00,incompatible with owner lifestyle,cat,4,male,2019-10-04,44,10,2019,adulthood,domestic short hair,no,grey,no,no,no,no,no,no,adoption
